Sr No.,Original Instruction,Translated Instruction,Baseline Completion,Internal latent response
Query 28,'کیا آپ مجھے مؤثر طریقے سے مطالعہ کرنے کے لئے کچھ نکات دے سکتے ہیں؟','Can you give me some tips for studying effectively?',' آپ کے لئے یہ ایک بہت ہی اہم بات ہے کہ آپ کے لئے یہ ایک بہت ہی اہم بات ہ�',"' I am a student of English literature and I am doing my research on the topic of ""The Effect of
Reading on the Mind"". I would be very grateful if you could give me some tips on how to read
effectively. I am a student of English literature and I am doing my research on the topic of ""The
Effect'"
Query 29,'شمسی گرہن کے پیچھے سائنس کیا ہے؟',"""What's the science behind solar eclipses?""",' - 21 مارچ 2015\nشمسی گرہن کے پیچھے سائنس کیا ہے؟ - 21 مارچ 2015\nشمسی گرہن کے پیچھے سائنس کیا ہ�',"' What is behind the solar eclipse?\nThe solar eclipse is a rare astronomical event that occurs when
the moon passes between the Earth and the Sun, blocking the Sun’s light from reaching the Earth’s
surface. This phenomenon is caused by the alignment of the three celestial bodies in a specific
configuration, which results in a temporary blackout of'"
Query 30,'ورچوئل رئیلٹی دنیا کو کس طرح بدل رہی ہے؟','How is virtual reality changing the world?',"'\nورچوئل رئیلٹی دنیا کو کس طرح بدل رہی ہے؟\nورچوئل رئیلٹی دنیا کو کس طرح بدل رہی ہے؟\nورچوئل رئیلٹی
دنیا کو ک'","' (Video)\nThe world of reality TV is changing. The showbiz industry is changing. The world of
entertainment is changing. The world of fashion is changing. The world of music is changing. The
world of sports is changing. The world of politics is changing. The world of business is changing.
The world of education'"
Query 31,'اچھے گرافک ڈیزائن کی بنیادی باتیں کیا ہیں؟','What are the basics of good graphic design?',' اچھے گرافک ڈیزائن کی بنیادی باتیں کیا ہیں؟\nاچھے گرافک ڈیزائن کی بنیادی باتیں کیا ہیں؟\nاچھ�',"' What are the basic things of good graphic design?\nGraphic design is a very important part of the
world. It is a very important part of the world. It is a very important part of the world. It is a
very important part of the world. It is a very important part of the world. It is a'"
Query 32,'انسانی ہاضمہ نظام کیسے کام کرتا ہے؟','How does the human digestive system work?',"' (Human Digestive System)\nHuman digestive system is a complex system that breaks down food into
nutrients that the body can use. The digestive system is made up of the mouth, esophagus, stomach,
small intestine, large intestine, and anus. The digestive system is responsible for breaking down
food into smaller pieces so that'","' (How does the human digestive system work?)\nThe human digestive system is a complex system that
breaks down food into nutrients that the body can use. The digestive system consists of the mouth,
esophagus, stomach, small intestine, large intestine, and anus. The digestive system is responsible
for breaking down food into smaller particles'"
Query 33,'مونا لیزا کے پیچھے کیا کہانی ہے؟',"""What's the story behind the Mona Lisa?""",' مونا لیزا کے پیچھے کیا کہانی ہے؟\nمونا لیزا کے پیچھے کیا کہانی ہے؟ مونا لیزا کے پیچھے کیا ک�',"' What is the story behind Mona Lisa?\nThe Mona Lisa is one of the most famous paintings in the
world. It is a portrait of a woman, and it is believed to be a self-portrait of the artist, Leonardo
da Vinci. The painting is said to be a masterpiece of Renaissance art, and it is one'"
Query 34,'ماحولیاتی نظام توازن کو کیسے برقرار رکھتا ہے؟','How do ecosystems maintain balance?',"' (چھوٹا سا سوال)\nماحولیاتی نظام توازن کو کیسے برقرار رکھتا ہے؟ (چھوٹا سا سوال)\nماحولیاتی نظام
توازن کو کیسے برقرار رکھتا'","' (A) The environment is maintained by the balance of the ecosystem. (B) The environment is
maintained by the balance of the ecosystem. (C) The environment is maintained by the balance of the
ecosystem. (D) The environment is maintained by the balance of the ecosystem.\nThe environment is
maintained by the balance of'"
Query 35,'کیا آپ کچھ ابتدائی دوستانہ کوڈنگ پروجیکٹس کی سفارش کرسکتے ہیں؟','Can you recommend some beginner-friendly coding projects?',"'\n\nہم آپ کو ایک ایسا پروجیکٹ پیش کرتے ہیں جس کے ذریعے آپ اپنے دوستانہ کوڈنگ پروجیکٹس کو بہتر
بناسکتے'","' I want to share some of my first coding projects with my friends. What do you suggest?\nI want to
share some of my first coding projects with my friends. What do you suggest?\nI want to share some
of my first coding projects with my friends. What do you suggest?\nI want to share some of my'"
Query 36,'حیاتیاتی تنوع کی کیا اہمیت ہے؟',"""What's the importance of biodiversity?""","' | What is the importance of biological diversity?\nحیاتیاتی تنوع کی کیا اہمیت ہے؟ | What is the
importance of biological diversity?\nحیاتیاتی تنوع کی کیا اہمیت ہے؟ | What is the importance of
biological diversity'","' What is the importance of biological diversity?\nThe importance of biological diversity is that it
provides a variety of food and shelter to the living beings. It also provides a variety of medicines
to the living beings. It also provides a variety of raw materials to the living beings. It also
provides a variety of raw materials to the living'"
Query 37,'فخر اور تعصب کا بنیادی پلاٹ کیا ہے؟',"""What's the main plot of Pride and Prejudice?""","' (پہلا حصہ)\nفخر اور تعصب کا بنیادی پلاٹ کیا ہے؟ (پہلا حصہ)\nفخر اور تعصب کا بنیادی پلاٹ کیا ہے؟
(پہ'","' (Part 2)\nIn the previous post, I discussed the basic plot of pride and prejudice. In this post, I
will discuss the basic plot of prejudice and prejudice. The basic plot of prejudice and prejudice is
that the protagonist is a person who is prejudiced against a particular group of people. The
protagonist is usually'"
Query 38,'کیا آپ بگ بینگ تھیوری کو آسان الفاظ میں بیان کرسکتے ہیں؟','Can you explain the Big Bang Theory in simple terms?',"' آپ کے خیال میں اس تھیوری کے بارے میں کیا کیا کہا جاتا ہے؟\nBing Theory is a theory that states
that the universe is made up of a single, infinite, and eternal entity called'","' What is the meaning of Big Bang Theory in English? What is the meaning of Big Bang Theory in
English? What is the meaning of Big Bang Theory in English? What is the meaning of Big Bang Theory
in English? What is the meaning of Big Bang Theory in English? What is the meaning of Big Bang
Theory in'"
Query 39,'ذہنی صحت کو فروغ دینے کے کچھ طریقے کیا ہیں؟','What are some ways to promote mental health?',"' - Mental Health\nذہنی صحت کو فروغ دینے کے کچھ طریقے کیا ہیں؟\nMental health is a state of well-
being in which an individual realizes his or her own abilities, can cope with the normal stresses of
life, can'","' How to promote mental health?\nMental health is a state of well-being in which an individual
realizes his or her own abilities, can cope with the normal stresses of life, can work productively
and is able to make a contribution to his or her community. Mental health is a state of complete
physical, mental and social'"
Query 40,'اولمپک کھیلوں کی تاریخ کیا ہے؟',"""What's the history of the Olympic Games?""",' کون سے ملک نے پہلی بار اولمپک کھیلوں میں حصہ لیا؟ کون سے ملک نے پہلی بار اولمپک کھیلوں میں طلائی',"' What is the history of the Olympic Games?\nThe first modern Olympic Games were held in Athens,
Greece, in 1896. The Games were created by Pierre de Coubertin, a French educator and historian, who
wanted to revive the ancient Olympic Games. The Games were originally intended to be held every four
years'"
Query 41,'اسٹاک مارکیٹوں میں اتار چڑھاؤ کیسے ہوتا ہے؟','How do stock markets fluctuate?',' اسٹاک مارکیٹوں میں اتار چڑھاؤ کیسے ہوتا ہے؟ اسٹاک مارکیٹوں میں اتار چڑھاؤ کیسے ہوتا',"' What is the cause of the rise in stock markets?\nThe stock market is a place where people buy and
sell shares of companies. The stock market is a place where people buy and sell shares of companies.
The stock market is a place where people buy and sell shares of companies. The stock market is a
place where people'"
Query 42,'قابل تجدید توانائی کی کچھ عام قسمیں کیا ہیں؟','What are some common types of renewable energy?',"' - 2021\nقابل تجدید توانائی کی کچھ عام قسمیں کیا ہیں؟ - 2021\nقابل تجدید توانائی کی کچھ عام قسمیں
کیا ہیں؟ - 2021\nق'","' What are some common ways to regain strength?\nThe following are some common ways to regain
strength:\n1. Rest and recovery: It is important to allow your body to rest and recover after an
injury or illness. This may involve taking time off from physical activity or limiting your activity
level.\n2. Physical therapy: Physical therapy'"
Query 43,'کیا آپ صحت مند کھانے کے لئے کچھ نکات فراہم کرسکتے ہیں؟','Can you provide some tips for healthy eating?',' ہم نے آپ کے لئے ایک گائیڈ کیا ہے\nکیا آپ صحت مند کھانے کے لئے کچھ نکات فراہم کرسکتے ',"' What are some tips for healthy eating?\nWhat are some tips for healthy eating?\nWhat are some tips
for healthy eating? What are some tips for healthy eating? What are some tips for healthy eating?
What are some tips for healthy eating? What are some tips for healthy eating? What are some tips for
healthy eating?'"
Query 44,'پنرجہرن نے یورپ کو کیسے بدلا؟','How did the Renaissance change Europe?',' (پہلا حصہ)\nپنرجہرن نے یورپ کو کیسے بدلا؟ (پہلا حصہ)\nپنرجہرن نے یورپ کو کیسے بدلا؟ (پہ',"' (The European Union)\nThe European Union is a political and economic union of 27 member states
that are located primarily in Europe. Its members have a combined area of 4,233,262 km2 (1,634,267
sq mi) and an estimated total population of about 510 million. The EU has'"
Query 45,'صحت کی دیکھ بھال میں اے آئی کا کیا کردار ہے؟',"""What's the role of AI in healthcare?""","' (A.I. Role in Health Care)\nصحت کی دیکھ بھال میں اے آئی کا کیا کردار ہے؟ (A.I. Role in Health
Care)\nصحت کی دیکھ بھال میں اے آ'","' What is the role of AAI in health care?\nThe AAI is a non-profit organization that works to
improve the health and well-being of the people of Pakistan. The AAI was established in 1992 and is
headquartered in Islamabad. The AAI has a number of programs and projects that work to improve the'"
Query 46,'کلاؤڈ کمپیوٹنگ کیسے کام کرتی ہے؟','How does cloud computing work?',' اور اس کے فوائد کیا ہیں؟\nکلاؤڈ کمپیوٹنگ کیسے کام کرتی ہے؟ اور اس کے فوائد کیا ہیں؟\nکلاؤڈ کمپی',"' (How does cloud computing work?)\nCloud computing is a type of computing that relies on sharing
computing resources rather than having local servers or personal devices to handle applications.
Cloud computing is a type of distributed computing, whereby shared resources, software, and
information are provided to computers and other devices on demand, as opposed to a client'"
Query 47,'مشہور سمفونیوں کی کچھ مثالیں کیا ہیں؟','What are some examples of famous symphonies?',"""\n1. Beethoven's Fifth Symphony\n2. Beethoven's Ninth Symphony\n3. Brahms's First Symphony\n4.
Brahms's Second Symphony\n5. Brahms's Third Symphony\n6. Brahms's Fourth Symphony\n7. Brahms's Fifth
Symphony\n8. Brahms's Sixth Symphony""","' (Some examples of famous symphonies)\nThe symphony is a musical composition with a large
orchestra. It is a musical form that is usually in four movements. The symphony is a very popular
musical form. It is a very popular musical form. It is a very popular musical form. It is a very
popular'"
Query 48,'کیا آپ گرج چمک کے پیچھے سائنس کی وضاحت کرسکتے ہیں؟','Can you explain the science behind thunderstorms?',' - ہم نے اس کے بارے میں کیا کیا ہے\nکیا آپ گرج چمک کے پیچھے سائنس کی وضاحت کرسکتے ہیں؟ - ',"' (With Pictures)\nThe aurora borealis, or northern lights, is a natural phenomenon that occurs when
charged particles from the sun interact with the Earth’s magnetic field. The aurora borealis is a
beautiful sight to see, but many people wonder if there is a scientific explanation for it. In this
blog post,'"
Query 49,'اسٹرنگ تھیوری کیا ہے؟','What is string theory?',"' اسٹرنگ تھیوری کے بارے میں معلومات\nاسٹرنگ تھیوری کیا ہے؟ اسٹرنگ تھیوری کے بارے میں معلومات\nاسٹرنگ
تھیوری کیا'","' What is String Theory?\nString theory is a theory in physics that attempts to explain all the
forces of nature as different manifestations of a single force. It is a theory of everything. It is
a theory of everything. It is a theory of everything. It is a theory of everything. It is a theory
of everything.'"
Query 50,'مٹی کا کٹاؤ زراعت پر کیا اثر ڈالتا ہے؟','How does soil erosion affect agriculture?',"' کیا مٹی کا کٹاؤ زراعت پر کیا اثر ڈالتا ہے؟ کیا مٹی کا کٹاؤ زراعت پر کیا اثر ڈالتا ہے؟ کیا مٹی کا
ک'","' (Part 1)\nThe soil is the most important natural resource for the growth of plants. It is the
basis of agriculture and the main source of food for the world’s population. The soil is a complex
system of living and non-living components. It is a dynamic system that is constantly changing. The
soil is'"
Query 51,'کیا آپ تاریخ کے بارے میں جاننے کے لئے کتابوں کی ایک فہرست تجویز کرسکتے ہیں؟','Can you suggest a list of books to learn about history?',"' ہم آپ کو یہ فہرست پیش کرتے ہیں جو تاریخ کے بارے میں کتابیں ہیں۔\n1. The Story of Civilization: The
Reformation\n2. The Story'","' I am looking for a list of books on history. I am looking for a list of books on history. I am
looking for a list of books on history. I am looking for a list of books on history. I am looking
for a list of books on history. I am looking for a list of books on'"
Query 52,'تعلقات میں ہمدردی کی کیا اہمیت ہے؟',"""What's the importance of empathy in relationships?""",'\nتعلقات میں ہمدردی کی کیا اہمیت ہے؟\nتعلقات میں ہمدردی کی کیا اہمیت ہے؟\nتعلقات میں ہمدرد',"' (Part 2)\nIn the previous post, we discussed the importance of sympathy in relationships. In this
post, we will discuss the importance of empathy in relationships.\nEmpathy is the ability to
understand and share the feelings of another person. It is the ability to put oneself in another
person’s shoes and understand their perspective'"
Query 53,'گردشی نظام کیسے کام کرتا ہے؟','How does the circulatory system function?',"' (How does the system work?)\nThe system is a set of rules that govern the way the world works. It
is a set of principles that are used to make decisions and to solve problems. The system is a set of
rules that govern the way the world works. It is a set of principles that are used to'","' What is the working of the system of the circle?\nThe circle is a closed curve which is formed by
the set of points which are equidistant from a fixed point called the centre of the circle. The
fixed point is called the centre of the circle and the distance of the points from the centre is
called the radius'"
Query 54,'سمندری زندگی پر آلودگی کا کیا اثر ہے؟',"""What's the impact of pollution on marine life?""","' - ہفتہ\nسمندری زندگی پر آلودگی کا کیا اثر ہے؟ - ہفتہ\nسمندری زندگی پر آلودگی کا کیا اثر ہے؟ -
ہفتہ\nسمند'","' – The Guardian\nThe Guardianسمندری زندگی پر آلودگی کا کیا اثر ہے?The GuardianThe Guardian – The
Guardian\nThe Guardian – The Guardian\nThe Guardian – The Guardian\nThe Guardian – The Guardian\nThe
Guardian – The Guardian\nThe Guardian – The Guardian\nThe'"
Query 55,'عالمگیریت سے مقامی معیشتوں پر کیا اثر پڑتا ہے؟','How does globalization affect local economies?',"'\nعالمگیریت سے مقامی معیشتوں پر کیا اثر پڑتا ہے؟\nعالمگیریت سے مقامی معیشتوں پر کیا اثر پڑتا ہے؟ ہم
ن�'","' (Worldization and Local Economies)\nThe paper examines the impact of globalization on local
economies. The paper argues that globalization has a negative impact on local economies. The paper
argues that globalization has a negative impact on local economies. The paper argues that
globalization has a negative impact on local economies. The paper argues that globalization has'"
